央视频道,#genre#
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=3
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=4
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=5
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=6
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=7
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=8
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=9
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=10
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=11
CCTV1,http://47.97.252.137:8094/tvlive/cctv1hd.m3u8?node=12
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=tvzb260306
CCTV2,http://47.97.252.137:8094/daili/cctv2hd.m3u8?line=0
CCTV2,http://47.97.252.137:8094/apptv/cctv2.m3u8
CCTV2,http://47.97.252.137:8094/cdnlive/cctv2.m3u8
CCTV2,http://47.97.252.137:8094/daili/cctv2hd.m3u8?line=1
CCTV2,http://47.97.252.137:8094/daili/cctv2hd.m3u8?line=2
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=1
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=2
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=3
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=4
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=5
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=6
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=7
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=8
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=9
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=10
CCTV2,http://47.97.252.137:8094/tvlive/cctv2hd.m3u8?node=11
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=tvzb260306
CCTV3,http://47.97.252.137:8094/daili/cctv3hd.m3u8?line=0
CCTV3,http://47.97.252.137:8094/apptv/cctv3.m3u8
CCTV3,http://47.97.252.137:8094/cdnlive/cctv3.m3u8
CCTV3,http://47.97.252.137:8094/daili/cctv3hd.m3u8?line=1
CCTV3,http://47.97.252.137:8094/daili/cctv3hd.m3u8?line=2
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=1
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=2
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=3
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=4
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=5
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=6
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=7
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=8
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=9
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=10
CCTV3,http://47.97.252.137:8094/tvlive/cctv3hd.m3u8?node=11
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=tvzb260306
CCTV4,http://47.97.252.137:8094/daili/cctv4hd.m3u8?line=0
CCTV4,http://47.97.252.137:8094/apptv/cctv4.m3u8
CCTV4,http://47.97.252.137:8094/cdnlive/cctv4.m3u8
CCTV4,http://47.97.252.137:8094/daili/cctv4hd.m3u8?line=1
CCTV4,http://47.97.252.137:8094/daili/cctv4hd.m3u8?line=2
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=1
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=2
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=3
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=4
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=5
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=6
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=7
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=8
